,country,age_65_74,age_75_plus
28,Iceland,3.9,5.1
18,Netherlands,5.2,8.4
15,Luxembourg,6.0,10.0
29,Norway,6.0,27.2
3,Denmark,9.3,17.7
9,France,9.4,13.4
25,Finland,12.0,29.8
26,Sweden,12.6,33.2
2,Czech Republic,13.4,14.4
24,Slovakia,13.6,18.6
6,Ireland,15.3,12.5
8,Spain,15.8,14.4
27,United Kingdom,16.3,23.5
21,Portugal,18.3,24.8
19,Austria,18.7,18.5
0,Belgium,19.2,22.2
4,Germany,19.5,16.7
7,Greece,20.8,28.1
23,Slovenia,21.1,35.3
17,Malta,21.7,20.0
12,Cyprus,21.8,41.1
11,Italy,23.4,26.7
16,Hungary,23.8,20.1
20,Poland,25.2,19.9
30,Switzerland,26.4,41.8
10,Croatia,30.6,40.4
14,Lithuania,31.7,41.0
22,Romania,34.4,44.3
5,Estonia,34.9,32.0
31,Serbia,37.0,41.9
13,Latvia,39.9,39.7
1,Bulgaria,59.8,64.8
